id,markdown,arquivo,nome_base,uso,alt,meta_descricao,motivo,instrucao_ia
1,/assets/img/banco-editorial/LIBRAS.SE_1.md,/assets/img/banco-editorial/LIBRAS.SE_1.webp,LIBRAS.SE_1,"Imagem institucional para posts sobre a equipe Libras.se, presenca em eventos, bastidores de projetos de acessibilidade e relacionamento com parceiros.","Equipe da Libras.se reunida em um estande de evento, com painel da marca ao fundo.","Foto vertical de seis pessoas da equipe Libras.se posando em um ambiente de feira ou evento profissional. Ao fundo ha um painel iluminado com a marca Libras.se, equipamentos, monitores, luzes de producao e estruturas de estande. A equipe veste camisetas pretas com o logotipo da Libras.se e crachas de evento, transmitindo uma imagem de presenca institucional, colaboracao e bastidores de uma operacao de acessibilidade em video.","A imagem reforca a dimensao humana da Libras.se, mostrando a equipe por tras dos servicos de traducao em Libras, acessibilidade audiovisual e producao de conteudo inclusivo.","Consulte este CSV como fonte unica. Para usar a foto, procure pelo tema nas colunas uso, alt, meta_descricao e motivo; retorne o caminho da coluna arquivo exatamente como esta; use a coluna meta_descricao como metadescricao da foto e a coluna alt como texto alternativo."
2,/assets/img/banco-editorial/LIBRAS.SE_2.md,/assets/img/banco-editorial/LIBRAS.SE_2.webp,LIBRAS.SE_2,"Imagem para posts sobre gravacao de traducao em Libras, producao em estudio, interpretes em video e uso de chroma key.","Interprete de Libras em estudio com fundo verde, ring light, celular e softbox.","Foto vertical de um interprete de Libras em pe diante de um fundo verde de chroma key. Ele usa camiseta azul da Libras.se e aparece sinalizando enquanto olha para a area de gravacao. A cena mostra equipamentos de producao, incluindo ring light com celular preso ao centro e uma softbox lateral, evidenciando um ambiente preparado para gravacao de videos acessiveis.","A imagem comunica de forma direta o processo tecnico de gravacao em Libras, conectando interpretacao, tecnologia e producao audiovisual para acessibilidade.","Consulte este CSV como fonte unica. Para usar a foto, procure pelo tema nas colunas uso, alt, meta_descricao e motivo; retorne o caminho da coluna arquivo exatamente como esta; use a coluna meta_descricao como metadescricao da foto e a coluna alt como texto alternativo."
3,/assets/img/banco-editorial/LIBRAS.SE_3.md,/assets/img/banco-editorial/LIBRAS.SE_3.webp,LIBRAS.SE_3,"Imagem para explicar gravacoes com celular, enquadramento de interprete, bastidores de estudio e producao de conteudo acessivel.","Interprete de Libras vista atraves de ring light enquanto grava em frente a um fundo verde.","Foto vertical feita atraves de uma ring light, com uma interprete de Libras ao centro usando camiseta azul da Libras.se diante de um fundo verde. Um celular preso ao suporte aparece em primeiro plano, parcialmente desfocado, enquanto a interprete sinaliza e sorri durante a gravacao. A composicao evidencia o ponto de vista dos bastidores, mostrando a relacao entre interprete, camera, iluminacao e chroma key.","A imagem e util para representar a preparacao visual de videos em Libras e a importancia de enquadramento, iluminacao e clareza gestual na acessibilidade audiovisual.","Consulte este CSV como fonte unica. Para usar a foto, procure pelo tema nas colunas uso, alt, meta_descricao e motivo; retorne o caminho da coluna arquivo exatamente como esta; use a coluna meta_descricao como metadescricao da foto e a coluna alt como texto alternativo."
4,/assets/img/banco-editorial/LIBRAS.SE_4.md,/assets/img/banco-editorial/LIBRAS.SE_4.webp,LIBRAS.SE_4,"Imagem para posts sobre interprete em estudio, gravacao profissional em Libras, comunicacao inclusiva e producao com chroma key.","Interprete de Libras sorrindo e sinalizando em estudio com fundo verde e luzes de gravacao.","Foto horizontal de uma interprete de Libras sorrindo enquanto sinaliza em frente a um fundo verde. Ela veste camiseta azul da Libras.se e esta cercada por equipamentos de gravacao, incluindo ring light com celular e softboxes nas laterais. A cena tem aspecto leve e profissional, com foco na expressao facial e na comunicacao visual da interprete.","A imagem reforca o papel da expressao corporal e facial na traducao em Libras, alem de contextualizar a gravacao como parte de um fluxo profissional de acessibilidade.","Consulte este CSV como fonte unica. Para usar a foto, procure pelo tema nas colunas uso, alt, meta_descricao e motivo; retorne o caminho da coluna arquivo exatamente como esta; use a coluna meta_descricao como metadescricao da foto e a coluna alt como texto alternativo."
5,/assets/img/banco-editorial/LIBRAS.SE_5.md,/assets/img/banco-editorial/LIBRAS.SE_5.webp,LIBRAS.SE_5,"Imagem para conteudos sobre captacao remota, videos curtos em Libras, gravacao com smartphone e bastidores de producao acessivel.","Interprete de Libras gravando com celular no centro de uma ring light em frente ao fundo verde.","Foto horizontal enquadrada por uma ring light em primeiro plano. No centro, uma interprete de Libras aparece sorrindo e sinalizando diante de um fundo verde de chroma key. Um celular preso ao suporte ocupa parte da composicao, mostrando que a gravacao pode ser feita com equipamento compacto, mas com cuidado de iluminacao e enquadramento.","A imagem ajuda a ilustrar a producao de conteudo acessivel com estrutura pratica, destacando que videos em Libras dependem de boa visibilidade das maos, rosto e expressao da pessoa interprete.","Consulte este CSV como fonte unica. Para usar a foto, procure pelo tema nas colunas uso, alt, meta_descricao e motivo; retorne o caminho da coluna arquivo exatamente como esta; use a coluna meta_descricao como metadescricao da foto e a coluna alt como texto alternativo."
6,/assets/img/banco-editorial/LIBRAS.SE_6.md,/assets/img/banco-editorial/LIBRAS.SE_6.webp,LIBRAS.SE_6,"Imagem para posts sobre bastidores de estudio, interpretacao em Libras, preparacao de set e comunicacao visual acessivel.","Interprete de Libras sinalizando em estudio com fundo verde, ring light e softbox.","Foto horizontal de uma interprete de Libras diante de um fundo verde, sinalizando com uma das maos levantada e a outra posicionada abaixo. A imagem mostra a ring light e o celular em primeiro plano, alem de uma softbox lateral, reforcando a estrutura de iluminacao usada para gravacoes. A interprete veste camiseta azul da Libras.se e aparece sorrindo, com postura aberta e comunicativa.","A imagem apresenta os bastidores de uma gravacao acessivel, mostrando como o ambiente de estudio apoia a nitidez dos sinais e a qualidade visual do material em Libras.","Consulte este CSV como fonte unica. Para usar a foto, procure pelo tema nas colunas uso, alt, meta_descricao e motivo; retorne o caminho da coluna arquivo exatamente como esta; use a coluna meta_descricao como metadescricao da foto e a coluna alt como texto alternativo."
7,/assets/img/banco-editorial/LIBRAS.SE_7.md,/assets/img/banco-editorial/LIBRAS.SE_7.webp,LIBRAS.SE_7,"Imagem para posts sobre apresentacao em Libras, gravacao de interpretes, padrao visual de estudio e producao de videos acessiveis.","Interprete de Libras sorrindo em estudio com camiseta da Libras.se e fundo verde.","Foto horizontal de um interprete de Libras em estudio, usando camiseta azul da Libras.se e posicionado diante de um fundo verde de chroma key. Ele aparece sorrindo, com as maos proximas ao corpo, enquanto equipamentos de iluminacao e captura cercam a cena, incluindo ring light com celular e softboxes. O enquadramento evidencia um ambiente de gravacao preparado para conteudo em Libras.","A imagem transmite profissionalismo e proximidade, sendo adequada para representar interpretes, producao audiovisual acessivel e a estrutura tecnica usada pela Libras.se.","Consulte este CSV como fonte unica. Para usar a foto, procure pelo tema nas colunas uso, alt, meta_descricao e motivo; retorne o caminho da coluna arquivo exatamente como esta; use a coluna meta_descricao como metadescricao da foto e a coluna alt como texto alternativo."
8,/assets/img/banco-editorial/LIBRAS.SE_8.md,/assets/img/banco-editorial/LIBRAS.SE_8.webp,LIBRAS.SE_8,"Imagem para conteudos sobre comunicacao em Libras no cotidiano, inclusao em ambientes publicos, interacao entre pessoas surdas e ouvintes e acessibilidade fora do estudio.","Duas pessoas com camisetas da Libras.se conversando em Libras ao ar livre.","Foto vertical em area externa arborizada, mostrando duas pessoas com camisetas azuis da Libras.se em uma conversa em Libras. Uma delas esta de frente, sorrindo, enquanto a outra aparece de costas ou em perfil, com as maos em movimento durante a sinalizacao. O caminho de tijolos, a vegetacao e a luz natural criam um contexto cotidiano e acolhedor para a comunicacao visual.","A imagem amplia o contexto da Libras para alem do estudio, mostrando a lingua em uso em interacoes reais, sociais e presenciais.","Consulte este CSV como fonte unica. Para usar a foto, procure pelo tema nas colunas uso, alt, meta_descricao e motivo; retorne o caminho da coluna arquivo exatamente como esta; use a coluna meta_descricao como metadescricao da foto e a coluna alt como texto alternativo."
9,/assets/img/banco-editorial/LIBRAS.SE_9.md,/assets/img/banco-editorial/LIBRAS.SE_9.webp,LIBRAS.SE_9,"Imagem para posts sobre interpretes de Libras em ambientes externos, comunicacao acessivel, linguagem visual e representacao da Libras no cotidiano.","Interprete de Libras sinalizando em area externa com arvores ao fundo.","Foto horizontal em contra-plongee de uma interprete de Libras usando camiseta azul da Libras.se em um ambiente externo com muitas arvores ao fundo. Ela aparece sinalizando com as duas maos levantadas, olhando levemente para cima, com expressao concentrada. O fundo verde desfocado destaca a pessoa e cria uma atmosfera natural para representar comunicacao visual em Libras fora do estudio.","A imagem reforca a presenca da Libras em diferentes contextos, conectando acessibilidade, comunicacao humana e ambientes cotidianos.","Consulte este CSV como fonte unica. Para usar a foto, procure pelo tema nas colunas uso, alt, meta_descricao e motivo; retorne o caminho da coluna arquivo exatamente como esta; use a coluna meta_descricao como metadescricao da foto e a coluna alt como texto alternativo."
10,/assets/img/banco-editorial/LIBRAS.SE_10.md,/assets/img/banco-editorial/LIBRAS.SE_10.webp,LIBRAS.SE_10,"Imagem para posts sobre tecnologia da Libras.se, fluxo de edicao de videos, envio de traducao em Libras, plataforma de producao e bastidores tecnicos de acessibilidade audiovisual.","Tela de edicao de video com interface da Libras.se para renderizar e enviar traducao acessivel.","Captura de tela de um software de edicao de video, com linha do tempo multicamadas, paineis de cor, preview de video e uma janela central com a marca Libras.se. Na interface aparece uma etapa de status de traducao e a acao de renderizar e enviar para a Libras.se, sugerindo um fluxo integrado entre edicao audiovisual e entrega de traducao acessivel. A imagem combina elementos de pos-producao, organizacao de midias e automacao de processos.","A imagem representa o lado tecnico da acessibilidade, mostrando que a traducao em Libras tambem envolve ferramentas, renderizacao, controle de prazos e integracao com fluxos profissionais de edicao.","Consulte este CSV como fonte unica. Para usar a foto, procure pelo tema nas colunas uso, alt, meta_descricao e motivo; retorne o caminho da coluna arquivo exatamente como esta; use a coluna meta_descricao como metadescricao da foto e a coluna alt como texto alternativo."
