Categoria,Sinal,Português,Status_Vídeo,Prioridade,Data_Gravação,Intérprete,Observações
Jogo - Educação,LIVRO,Livro,⏳ Pendente,Alta,,,"Primeiro desafio do jogo, icônico - as mãos se abrem como páginas"
Jogo - Educação,ESCOLA,Escola,⏳ Pendente,Alta,,,"Sinal muito comum, cruzamento das mãos"
Jogo - Relacionamentos,AMIGO,Amigo,⏳ Pendente,Alta,,,"Conexão - dedos entrelaçados"
Jogo - Relacionamentos,FAMILIA,Família,⏳ Pendente,Alta,,,"Círculo com as mãos em F, representa união"
Jogo - Cotidiano,COMER,Comer,⏳ Pendente,Alta,,,"Icônico - leva comida à boca"
Jogo - Sentimentos,FELIZ,Feliz,⏳ Pendente,Alta,,,"Requer expressão facial marcada (sorriso)"
Jogo - Cotidiano,TRABALHO,Trabalho,⏳ Pendente,Alta,,,"Punhos batem um sobre o outro - esforço"
Jogo - Expressões,OBRIGADO,Obrigado,⏳ Pendente,Alta,,,"Mão sai do queixo em direção ao outro - gratidão"
Jogo - Arte,MUSICA,Música,⏳ Pendente,Alta,,,"Movimentos ondulatórios - melodia visual"
Jogo - Relacionamentos,CRIANCA,Criança,⏳ Pendente,Alta,,,"Mão na altura de criança pequena - altura indica faixa etária"
Jogo - Sentimentos,SONHAR,Sonhar,⏳ Pendente,Alta,,,"Dedo sai da cabeça em ondulação - pensamentos flutuam"
Jogo - Cotidiano,JANELA,Janela,⏳ Pendente,Alta,,,"Mãos imitam folhas de janela abrindo para os lados"
Expressões,DESCULPA,Desculpa,⏳ Pendente,Alta,,,"Página individual pronta em /sinal/desculpa/"
Expressões,BOM DIA,Bom dia,⏳ Pendente,Alta,,,"Página individual pronta em /sinal/bom-dia/"
Expressões,POR FAVOR,Por favor,⏳ Pendente,Alta,,,"Página individual pronta em /sinal/por-favor/"
Expressões,EU TE AMO,Eu te amo,⏳ Pendente,Alta,,,"Página individual pronta em /sinal/eu-te-amo/, sentimento"
Validação Jogo,CARRO,Carro,⏳ Pendente,Média,,,"Veículo - provavelmente icônico com mãos"
Validação Jogo,VERDE,Verde,⏳ Pendente,Média,,,"Cor - pode ter datilologia + sinal"
Validação Jogo,BRANCO,Branco,⏳ Pendente,Média,,,"Cor - pode ter datilologia + sinal"
Validação Jogo,PRETO,Preto,⏳ Pendente,Média,,,"Cor - pode ter datilologia + sinal"
Validação Jogo,AZUL,Azul,⏳ Pendente,Média,,,"Cor - pode ter datilologia + sinal"
Validação Jogo,SAUDE,Saúde,⏳ Pendente,Média,,,"Bem-estar"
